"Treatment_name","Treatment_number","Leaf_Ear_mass","Stem_mass","Sim_biom","Sim_yield","Sim_HI","RUE","Sim_Emer_Anth_days","Sim_Emer_Matur_days","No_exper","Repetition","Training_treatments","ML_model"
"9C",7,350.947346356101,302.538573764078,1232.77227837266,579.286358252483,0.469905406225697,0.384287575138843,53,84,4,2,"8C,7C,15C,1C","Random_forests"
"9H",8,351.313936607109,302.951717821568,1172.34241494457,518.076760515893,0.441915906062641,0.385864624223981,50,80,4,2,"8C,7C,15C,1C","Random_forests"
"10C",9,393.204782955643,351.011792297565,1281.86984420712,537.653268996336,0.419428908033088,0.345741207018875,38,68,4,2,"8C,7C,15C,1C","Random_forests"
"14C",10,530.499949374864,519.198003358285,1792.76699756671,743.069044834718,0.414481662058299,0.469724114070851,94,132,4,2,"8C,7C,15C,1C","Random_forests"
"14H",11,529.274074484102,517.630343734116,1727.45380523211,680.549387014978,0.393960975948375,0.393935558198056,91,124,4,2,"8C,7C,15C,1C","Random_forests"
"15C",12,467.452566734768,440.058275210375,1515.08860312709,607.57776118196,0.401017973422768,0.181251434656322,80,111,4,2,"8C,7C,15C,1C","Random_forests"
"1C",1,321.069289236523,266.776902253817,1058.81784955811,470.97165806816,0.444808952044696,0.0714435130357742,49,78,4,3,"2C,9H,7C,14H","XG_boost"
"1H",2,245.472682693247,185.099281143469,749.517869653786,318.94590581707,0.425534758716822,0.142317116260529,48,70,4,3,"2C,9H,7C,14H","XG_boost"
"2C",3,177.271442299243,118.833483271649,503.206265166566,207.101339595674,0.411563515663147,0.121421858668327,43,63,4,3,"2C,9H,7C,14H","XG_boost"
"7C",4,537.56072023009,538.131444780158,1889.99565229778,814.303487293958,0.430849397089332,0.0661854967474937,86,124,4,3,"2C,9H,7C,14H","XG_boost"
"7H",5,472.603072380632,451.584482136343,1577.35938276331,653.171828246393,0.414091953542084,0.59071558713913,77,113,4,3,"2C,9H,7C,14H","XG_boost"
"8C",6,435.686950987369,404.248625068936,1489.10488430213,649.169308245827,0.435945993522182,0.105028048157692,67,102,4,3,"2C,9H,7C,14H","XG_boost"
"9C",7,362.775407206578,315.036068141452,1214.0012857615,536.189810413472,0.441671534208581,0.0397016555070877,47,84,4,3,"2C,9H,7C,14H","XG_boost"
"9H",8,337.66505478148,285.724570300604,1096.96451162602,473.574886543983,0.431713953847066,0.0148768369108438,47,78,4,3,"2C,9H,7C,14H","XG_boost"
"10C",9,203.96310573998,143.837099993977,603.254506765008,255.454301031051,0.423460244666785,0.681975781917572,44,64,4,3,"2C,9H,7C,14H","XG_boost"
"14C",10,477.954598759448,458.560695173879,1665.72026613402,729.204972200798,0.437771567667369,0.410116910934448,88,131,4,3,"2C,9H,7C,14H","XG_boost"
"14H",11,460.715447698445,436.190121720917,1510.11030509357,613.204735674222,0.406066188414115,0.676447808742523,87,123,4,3,"2C,9H,7C,14H","XG_boost"
"15C",12,443.954899727947,414.728754848097,1528.84455967046,670.160905094413,0.438344696885906,0.0845550373196602,77,112,4,3,"2C,9H,7C,14H","XG_boost"
"1C",1,324.73983780003,270.937814015861,1084.78314844165,489.105496626019,0.450878590185187,0.178141224958788,49,79,4,3,"2C,9H,7C,14H","Random_forests"
"1H",2,287.596617745278,229.640610472067,907.28994506917,390.052716861158,0.429909665571596,0.127162062113683,48,72,4,3,"2C,9H,7C,14H","Random_forests"
"2C",3,219.79139783656,159.244174992691,650.944539473979,271.908966644728,0.4177144904917,0.0797983889664129,43,65,4,3,"2C,9H,7C,14H","Random_forests"
