Model	Version	PNO	Trt	Planting.date	Emergence.date	Ant.date	Mat.date	FLN	Yield	Biom.an	Biom.ma	HI	GNumber	CroN.an	CroN.ma	GrainN.ma	GPC	GDM.ma	GNM.ma	ET.ma	Transp.ma
S2	Improved	4	C	2007-07-25	2007-07-28	NA	NA	NA	0.52	NA	NA	NA	NA	NA	NA	11.26	NA	27.77	0.6	NA	NA
S2	Improved	7	C	2008-01-02	2008-01-14	2008-04-06	2008-05-16	8	8.7	8.8	16.7	52.07	19983.17	146.04	220.5	170.28	11.16	43.52	0.85	527.97	NA
S2	Improved	7	H	2008-01-02	2008-01-14	2008-04-01	2008-05-06	8.67	7.57	8.73	15.3	49.49	17979.61	152.72	234.84	179.89	13.55	42.1	1	488.63	NA
S2	Improved	8	C	2008-02-13	2008-02-24	2008-04-26	2008-05-28	8	6.42	7.67	12.57	51.11	19766.54	104.42	183.53	144.84	12.85	32.5	0.73	516.43	NA
S2	Improved	9	C	2008-03-10	2008-03-21	2008-05-11	2008-06-09	7	5.89	8.91	13.44	43.84	18185.87	137.95	192.96	135.38	13.1	32.39	0.74	481.45	NA
S2	Improved	9	H	2008-03-10	2008-03-20	2008-05-07	2008-06-04	7	4.96	6.99	10.65	46.89	14405.77	105.76	153.07	112.38	12.9	34.53	0.78	443.83	NA
SA	Improved	10	C	2008-04-28	2008-05-04	2008-06-14	2008-07-07	NA	0.58	3.81	4.44	13.08	NA	99.92	99.92	17.42	17.09	NA	NA	294.86	176.88
SA	Improved	11	C	2008-08-25	2008-08-30	NA	NA	NA	1.7	NA	NA	NA	NA	NA	NA	51.06	NA	NA	NA	NA	NA
SA	Improved	14	C	2008-12-01	2008-12-14	2009-03-26	2009-05-03	NA	8.75	9.37	19.22	45.51	NA	239.48	305.72	249.04	16.23	NA	NA	468.77	341.27
SA	Improved	14	H	2008-12-01	2008-12-14	2009-03-18	2009-04-25	NA	8.84	9.36	19.11	46.3	NA	236.91	304.42	248.19	16	NA	NA	451.85	335.95
SA	Improved	15	C	2009-01-12	2009-01-23	2009-04-13	2009-05-15	NA	6.29	8.64	15.96	39.41	NA	214.54	262.66	188.71	17.1	NA	NA	448.21	317.63
SA	Improved	1	C	2007-03-13	2007-03-20	2007-05-11	2007-06-07	NA	4.24	6.79	11.47	37.01	NA	181.56	184.8	127.3	17.1	NA	NA	369.24	261.37
SA	Improved	1	H	2007-03-13	2007-03-20	2007-05-08	2007-06-03	NA	3.32	6.54	9.99	33.25	NA	176.83	176.83	99.65	17.1	NA	NA	362.05	254.06
SA	Improved	2	C	2007-04-19	2007-04-26	2007-06-05	2007-06-30	NA	2.13	4.34	7.06	30.15	NA	129.37	129.37	63.88	17.1	NA	NA	367.43	227.05
SA	Improved	3	C	2007-06-12	2007-06-16	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.16	NA	NA	NA	NA	NA
SA	Improved	4	C	2007-07-25	2007-07-28	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.08	NA	NA	NA	NA	NA
SA	Improved	7	C	2008-01-02	2008-01-16	2008-04-14	2008-05-17	NA	7.35	8.97	17	43.32	NA	218.99	245.47	195.41	15.15	NA	NA	488.33	321.54
SA	Improved	7	H	2008-01-02	2008-01-16	2008-04-07	2008-05-10	NA	7.06	8.43	16.35	43.23	NA	224.23	248.99	198.64	16.03	NA	NA	467.99	311.34
SA	Improved	8	C	2008-02-13	2008-02-25	2008-04-29	2008-05-29	NA	5.83	6.9	13.52	43.14	NA	112.29	201.96	172.69	16.88	NA	NA	436.64	284.46
SA	Improved	9	C	2008-03-10	2008-03-18	2008-05-11	2008-06-09	NA	5.42	6.77	12.75	42.57	NA	158.49	191.52	156.28	16.43	NA	NA	378.84	260.51
SA	Improved	9	H	2008-03-10	2008-03-17	2008-05-08	2008-06-05	NA	4.83	6.88	12.28	39.35	NA	166.69	186.5	144.96	17.1	NA	NA	360.71	257.25
